a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,date,genre,mp_rating,runtime,titles,year
"
        ,
        1,040",84%,"
                PanteA Bahrami","
                Hamid Farrokhnezhad","
                Taraneh Alidoosti",,41,100,16-Mar-16,"
                        Art House & International,
                        Drama",NR,"
                    104 minutes
                ","
                Fireworks Wednesday (Chaharshanbe-soori)",-2016
,,,,,,,,,,,,,
"
        ,
        1,260",82%,"
                Song Kang-ho","
                Yoo Gong","
                Han Ji-min","$541,226 ",41,100,23-Sep-16,"
                        Action & Adventure,
                        Drama",NR,"
                    139 minutes
                ","
                The Age of Shadows",-2016
,,,,,,,,,,,,,
"
        ,
        59,630",79%,"
                Mary Elizabeth Winstead","
                John Goodman","
                John Gallagher Jr.","$59,481,553 ",250,90,11-Mar-16,"
                        Drama,
                        Mystery & Suspense,
                        Science Fiction & Fantasy","PG-13 (for thematic material including frightening sequences of threat with some violence, and brief language)","
                    90 minutes
                ","
                10 Cloverfield Lane",-2016
,,,,,,,,,,,,,
"
        ,
        8,702",84%,"
                Jan Bijvoet","
                Brionne Davis","
                Nilbio Torres","$1,320,005 ",131,96,17-Feb-16,"
                        Action & Adventure,
                        Art House & International",NR,"
                    123 minutes
                ","
                Embrace Of The Serpent (El Abrazo De La Serpiente)",-2016
,,,,,,,,,,,,,
"
        ,
        4,430",74%,"
                Narges Rashidi","
                Avin Manshadi","
                Bobby Naderi","$25,832 ",68,99,7-Oct-16,"
                        Art House & International,
                        Horror,
                        Mystery & Suspense","PG-13 (for terrror, scary images and brief language)","
                    84 minutes
                ","
                Under The Shadow",-2016
,,,,,,,,,,,,,
"
        ,
        2,196",55%,"
                Royalty Hightower","
                Alexis Neblett","
                Makyla Burnam","$166,425 ",91,98,3-Jun-16,"
                        Drama",NR,"
                    72 minutes
                ","
                The Fits",-2016
,,,,,,,,,,,,,
"
        ,
        6,407",81%,"
                Kwak Do-won","
                Jung-min Hwang","
                Jun Kunimura","$785,405 ",73,99,3-Jun-16,"
                        Art House & International,
                        Drama,
                        Mystery & Suspense",NR,"
                    156 minutes
                ","
                The Wailing (Goksung)",-2016
,,,,,,,,,,,,,
"
        ,
        11,560",86%,"
                Miki Imai","
                Youko Honna","
                Daisy Ridley","$415,939 ",52,100,26-Feb-16,"
                        Animation,
                        Art House & International,
                        Drama,
                        Romance","PG (for thematic elements, some rude behavior and smoking)","
                    118 minutes
                ","
                Only Yesterday",-2016
,,,,,,,,,,,,,
