titles,box_office,total
Astérix et Obélix: Au service de Sa Majesté,0.00000000000,0
The Little Prince,1.31121300000,1311213
Despicable Me 2,368.06538500000,368065385
2 Fast 2 Furious,127.12005800000,127120058
Children of Men,35.55238300000,35552383
The Adventures of Rocky & Bullwinkle,26.00061000000,26000610
The Secret Life of Pets,365.04893500000,365048935
Independence Day,306.16925500000,306169255
The Lost World: Jurassic Park,229.08667900000,229086679
Ice Age: The Meltdown,195.33062100000,195330621
Madagascar,193.59552100000,193595521
Grown Ups,162.00118600000,162001186
Shark Tale,161.41200000000,161412000
X-Men,157.29971700000,157299717
Wanted,134.50855100000,134508551
The Rock,134.06951100000,134069511
50 First Dates,120.77683200000,120776832
Hairspray,118.87184900000,118871849
Now You See Me,117.72398900000,117723989
Dreamgirls,103.36595600000,103365956
Inspector Gadget,97.38796500000,97387965
Immortals,83.50401700000,83504017
The Terminal,77.07395900000,77073959
Constantine,75.97617800000,75976178
Monster House,73.66101000000,73661010
Hotel for Dogs,73.03446000000,73034460
Vertical Limit,68.47336000000,68473360
Charlie Wilson's War,66.66109500000,66661095
Life,64.06258700000,64062587
Be Cool,55.84940100000,55849401
Munich,47.37909000000,47379090
Killers,47.05996300000,47059963
The Man From U.N.C.L.E.,45.44510900000,45445109
Tears of the Sun,43.63245800000,43632458
Lady in the Water,42.28516900000,42285169
Spanglish,42.04432100000,42044321
Bandits,41.52327100000,41523271
Anna and the King,39.25112800000,39251128
First Knight,37.36141200000,37361412
Sucker Punch,36.39250200000,36392502
Hostage,34.63644300000,34636443
Hollywood Homicide,30.20778500000,30207785
Titan A.E.,22.75197900000,22751979
Flight of the Phoenix,21.00918000000,21009180
Soldier,14.62308200000,14623082
Virus,14.01069000000,14010690
Monkeybone,5.40951700000,5409517
Minions,336.04577000000,336045770
The SpongeBob Movie: Sponge Out of Water,162.99403200000,162994032
Unbreakable,94.99914300000,94999143
Talladega Nights: The Ballad of Ricky Bobby,148.21337700000,148213377
The Angry Birds Movie,107.50936600000,107509366
Snake Eyes,55.59140900000,55591409
Sphere,37.06829400000,37068294
The Simpsons Movie,183.13501400000,183135014
Fool's Gold,70.23104100000,70231041
Funny People,51.85504500000,51855045
The Kingdom,47.46725000000,47467250
Doctor Dolittle 2,112.95072100000,112950721
Braveheart,75.54564700000,75545647
Jarhead,62.64754000000,62647540
Driven,32.61686900000,32616869
The Majestic,27.79604200000,27796042
Two Brothers,19.17675400000,19176754
The Village,114.19752000000,114197520
Doctor Dolittle,144.15660500000,144156605
Signs,227.96569000000,227965690
Shrek 2,441.22624700000,441226247
Cars,244.08298200000,244082982
Alvin and the Chipmunks: The Squeakquel,219.61461200000,219614612
Who Framed Roger Rabbit?,154.11249200000,154112492
Runaway Bride,152.25750900000,152257509
xXx,141.93000000000,141930000
Ransom,136.49268100000,136492681
Inglourious Basterds,120.77459400000,120774594
Hook,119.65482300000,119654823
Die Hard 2,117.32387800000,117323878
S.W.A.T.,116.87759700000,116877597
Sleepy Hollow,101.06834000000,101068340
Vanilla Sky,100.61485800000,100614858
Hercules,99.11210100000,99112101
Olympus Has Fallen,98.92759200000,98927592
Battle: Los Angeles,83.55242900000,83552429
AVP: Alien Vs. Predator,80.28109600000,80281096
War Horse,79.88335900000,79883359
We Were Soldiers,78.12019600000,78120196
The Monuments Men,78.03162000000,78031620
Star Trek: Insurrection,70.18765800000,70187658
Big Fish,66.43286700000,66432867
Wolf,65.01175700000,65011757
Underworld: Awakening,62.32103900000,62321039
Dracula Untold,55.99188000000,55991880
The Abyss,54.24312500000,54243125
Wall Street 2: Money Never Sleeps,52.47461600000,52474616
The Dilemma,48.47529000000,48475290
Rumor Has It,42.99614000000,42996140
Storks,41.66849400000,41668494
The Siege,40.93417500000,40934175
Stardust,38.63493800000,38634938
Rock of Ages,38.51861300000,38518613
Seven Years in Tibet,37.94588400000,37945884
Sky Captain and the World of Tomorrow,37.76008000000,37760080
I Spy,33.56113700000,33561137
